F_1,F_3,F_5,F_7,F_6,F_8,Labels
0.0,2.0,0.0,39.0,39.0,2.0,1.0
3.0,0.0,-16.0,39.0,39.0,0.0,5.0
0.0,0.0,16.0,39.0,39.0,0.0,1.0
1.0,0.0,4.0,37.0,37.0,0.0,1.0
0.0,0.0,17.0,67.0,67.0,0.0,1.0
0.0,0.0,15.0,44.0,44.0,0.0,1.0
2.0,0.0,11.0,34.0,34.0,0.0,1.0
-2.0,-2.0,0.0,127.0,127.0,-2.0,1.0
0.0,0.0,-24.0,88.0,88.0,0.0,4.0
0.0,0.0,16.0,34.0,34.0,0.0,1.0
-1.0,0.0,-16.0,41.0,41.0,0.0,1.0
-2.0,-2.0,0.0,71.0,71.0,-2.0,1.0
0.0,2.0,0.0,30.0,30.0,2.0,1.0
-1.0,0.0,-2.0,24.0,24.0,0.0,1.0
4.0,0.0,0.0,42.0,42.0,0.0,1.0
0.0,-4.0,0.0,46.0,46.0,-4.0,1.0
4.0,0.0,0.0,40.0,40.0,0.0,1.0
-5.0,0.0,0.0,43.0,43.0,0.0,4.0
5.0,0.0,0.0,40.0,40.0,0.0,1.0
0.0,-4.0,-13.0,59.0,59.0,-4.0,1.0
0.0,0.0,-11.0,53.0,53.0,0.0,1.0
-2.0,3.0,11.0,39.0,39.0,3.0,4.0
2.0,1.0,0.0,37.0,37.0,1.0,1.0
0.0,0.0,24.0,33.0,33.0,0.0,1.0
0.0,0.0,20.0,32.0,32.0,0.0,4.0
1.0,-6.0,4.0,30.0,30.0,-6.0,1.0
0.0,0.0,19.0,77.0,77.0,0.0,1.0
-5.0,0.0,28.0,24.0,24.0,0.0,4.0
0.0,0.0,-11.0,85.0,85.0,0.0,5.0
0.0,0.0,-6.0,39.0,39.0,0.0,4.0
0.0,0.0,-11.0,60.0,60.0,0.0,1.0
0.0,0.0,-2.0,41.0,41.0,0.0,4.0
0.0,2.0,-11.0,50.0,50.0,2.0,1.0
0.0,-2.0,0.0,48.0,48.0,-2.0,1.0
1.0,0.0,7.0,35.0,35.0,0.0,1.0
0.0,6.0,-4.0,44.0,44.0,6.0,1.0
0.0,-1.0,0.0,42.0,42.0,-1.0,1.0
0.0,0.0,-12.0,37.0,37.0,0.0,1.0
0.0,0.0,14.0,37.0,37.0,0.0,1.0
0.0,0.0,-1.0,38.0,38.0,0.0,1.0
0.0,-1.0,28.0,45.0,45.0,-1.0,4.0
-5.0,0.0,0.0,39.0,39.0,0.0,4.0
0.0,-7.0,0.0,37.0,37.0,-7.0,1.0
-2.0,0.0,-7.0,47.0,47.0,0.0,1.0
0.0,-6.0,3.0,76.0,76.0,-6.0,1.0
0.0,0.0,16.0,74.0,74.0,0.0,1.0
0.0,0.0,-4.0,32.0,32.0,0.0,1.0
0.0,0.0,6.0,105.0,105.0,0.0,1.0
-1.0,0.0,0.0,83.0,83.0,0.0,1.0
-5.0,0.0,0.0,41.0,41.0,0.0,1.0
0.0,0.0,-1.0,40.0,40.0,0.0,4.0
0.0,3.0,0.0,48.0,48.0,3.0,1.0
1.0,0.0,16.0,42.0,42.0,0.0,1.0
-5.0,0.0,0.0,35.0,35.0,0.0,1.0
